"","X","carat","cut","color","clarity","depth","table","price","x","y","z"
"10229",10229,1.2,"Ideal","J","SI2",61.7,56,4744,6.87,6.79,4.21
"9897",9897,0.9,"Good","H","VS2",58.2,59,4685,6.36,6.33,3.69
"35511",35511,0.41,"Premium","E","SI1",61.8,60,904,4.78,4.74,2.94
"51415",51415,0.77,"Good","E","SI2",58.1,63,2371,6.02,6.06,3.5
"16561",16561,1.04,"Ideal","G","VS2",61.6,55,6617,6.51,6.55,4.02
"44760",44760,0.52,"Ideal","G","VS1",62.1,54,1621,5.14,5.17,3.2
"51516",51516,0.7,"Fair","G","VS1",65.8,61,2384,5.61,5.46,3.64
"48603",48603,0.72,"Ideal","J","VVS2",61.6,56,1996,5.76,5.73,3.54
"35996",35996,0.35,"Ideal","H","IF",60.5,56,921,4.56,4.59,2.77
"51118",51118,0.97,"Fair","F","SI2",67.2,61,2338,6.09,6,4.06
"41915",41915,0.5,"Very Good","H","VS2",62.8,58,1262,5.03,5.07,3.17
"33013",33013,0.3,"Very Good","F","VVS1",61.1,57,814,4.31,4.33,2.64
"49121",49121,0.7,"Good","H","SI1",63.4,61,2066,5.58,5.62,3.55
"46649",46649,0.3,"Very Good","G","VS2",63,55,526,4.29,4.31,2.71
"43956",43956,0.31,"Good","F","SI1",63.1,57,516,4.28,4.31,2.71
"41501",41501,0.62,"Premium","F","SI2",59.1,58,1234,5.6,5.57,3.3
"45181",45181,0.51,"Very Good","G","VS1",62.9,58,1656,5.05,5.1,3.19
"18209",18209,1.02,"Premium","D","VS2",62.9,60,7389,6.42,6.37,4.02
"14864",14864,1.05,"Very Good","G","VS2",63,57,5987,6.48,6.51,4.09
"22835",22835,1.5,"Good","E","SI1",61.3,65,10868,7.17,7.23,4.41
"3316",3316,0.9,"Premium","H","SI2",58.3,60,3371,6.34,6.31,3.69
"52175",52175,0.7,"Premium","E","SI2",62.8,59,2475,5.69,5.64,3.56
"18756",18756,1.01,"Ideal","E","VS1",62.7,55,7665,6.45,6.4,4.03
"27725",27725,2.01,"Very Good","G","SI1",63.1,59,18741,8.03,7.98,5.05
"18082",18082,1.01,"Good","G","VVS2",58.2,55,7306,6.65,6.68,3.88
"16574",16574,1.01,"Ideal","G","VS2",61.4,58,6618,6.47,6.44,3.97
"36887",36887,0.55,"Ideal","H","SI2",61.4,55,959,5.27,5.29,3.24
"45936",45936,0.53,"Very Good","G","VS1",60.2,55,1722,5.25,5.28,3.17
"27268",27268,2.12,"Very Good","F","SI2",60.6,58,17694,8.27,8.32,5.03
"3775",3775,0.8,"Very Good","F","VS1",63.7,56,3460,5.87,5.9,3.75
"7905",7905,1.01,"Very Good","I","SI1",63.1,57,4313,6.32,6.36,4
"19741",19741,1.51,"Premium","D","SI2",61.4,56,8311,7.37,7.32,4.51
"8190",8190,1.04,"Premium","H","SI1",60.4,59,4368,6.59,6.55,3.97
"51705",51705,0.7,"Very Good","F","VS2",61.2,56,2400,5.72,5.78,3.52
"39102",39102,0.41,"Ideal","I","VVS2",62.3,56,1061,4.77,4.73,2.96
"17998",17998,1.01,"Very Good","D","VS2",62.8,57,7278,6.33,6.4,4
"18379",18379,0.42,"Good","D","SI2",60.7,61,617,4.78,4.84,2.92
"26674",26674,0.25,"Ideal","H","VS1",61.9,54,426,4.07,4.1,2.53
"14469",14469,1.08,"Ideal","H","VS2",62.1,56,5839,6.59,6.56,4.08
"14782",14782,1.21,"Ideal","H","SI1",62.4,56,5948,6.85,6.8,4.26
"15524",15524,1.01,"Very Good","E","VS2",62.9,58,6221,6.37,6.47,4.04
"50614",50614,0.25,"Very Good","D","VS2",61.1,60,399,4.07,4.11,2.5
"4500",4500,0.9,"Premium","H","SI1",61.9,58,3629,6.2,6.15,3.82
"25857",25857,2.07,"Ideal","H","SI1",60.6,56,14935,8.38,8.3,5.05
"31959",31959,0.31,"Ideal","I","VS2",62.3,54,452,4.37,4.4,2.73
"45325",45325,0.32,"Good","E","SI1",63.1,54,524,4.37,4.41,2.77
"38803",38803,0.31,"Very Good","G","VVS1",63.1,56,1046,4.35,4.33,2.74
"2369",2369,0.9,"Good","I","SI1",63.5,59,3176,6.05,6.1,3.86
"109",109,0.81,"Ideal","F","SI2",58.8,57,2761,6.14,6.11,3.6
"43531",43531,0.43,"Ideal","E","VVS2",61.7,55,1426,4.86,4.87,3
"39029",39029,0.52,"Good","H","SI1",57.6,61,1056,5.34,5.32,3.07
"36925",36925,0.41,"Ideal","G","VS1",60.8,56,961,4.82,4.79,2.92
"50274",50274,0.7,"Very Good","E","SI1",62.6,58,2239,5.66,5.68,3.55
"35898",35898,0.32,"Ideal","G","IF",61.2,55,918,4.41,4.44,2.71
"11149",11149,1.11,"Ideal","F","SI2",61.7,55,4942,6.66,6.63,4.1
"10516",10516,1.04,"Ideal","H","SI1",62.1,57,4801,6.49,6.52,4.04
"46633",46633,0.3,"Good","G","VS2",63.1,57,526,4.24,4.28,2.69
"34166",34166,0.33,"Ideal","G","VS1",61.4,54,854,4.48,4.44,2.74
"1820",1820,0.57,"Ideal","F","VVS1",61.1,55,3057,5.36,5.44,3.3
"19604",19604,1.5,"Ideal","H","VVS2",61.3,56,8224,7.37,7.28,4.49
"9374",9374,0.32,"Ideal","D","SI1",61.9,57,589,4.36,4.4,2.71
"27048",27048,0.32,"Ideal","H","VVS2",61.8,55,645,4.38,4.42,2.72
"9866",9866,1.03,"Premium","D","SI2",61.7,58,4679,6.47,6.5,4
"52115",52115,0.72,"Very Good","H","VS2",61.4,57,2462,5.75,5.79,3.54
"28077",28077,0.38,"Very Good","H","SI1",60.1,57,662,4.73,4.75,2.85
"9802",9802,0.9,"Very Good","G","VVS2",62.6,55,4668,6.12,6.19,3.85
"33777",33777,0.35,"Very Good","F","VS1",60.3,58.6,842,4.56,4.59,2.76
"12352",12352,1.01,"Very Good","E","SI1",62.4,58,5229,6.36,6.4,3.99
"17993",17993,1.31,"Premium","H","VS2",62.5,58,7277,6.97,6.94,4.35
"46388",46388,0.5,"Very Good","G","VVS2",62.8,57,1764,5.05,5.07,3.18
"5812",5812,0.91,"Premium","E","SI1",61.5,60,3911,6.19,6.24,3.82
"10139",10139,1.05,"Ideal","I","SI2",61.8,59,4723,6.53,6.49,4.02
"15430",15430,1.2,"Very Good","H","VS1",62,57,6177,6.77,6.81,4.21
"10684",10684,1.01,"Ideal","F","SI2",62.7,57,4843,6.36,6.39,4
"3081",3081,1.24,"Ideal","J","SI1",62.3,57,3312,6.86,6.81,4.26
"20265",20265,1.19,"Very Good","G","VVS2",61.8,59,8689,6.75,6.77,4.18
"8747",8747,0.91,"Good","G","VVS2",64.1,58,4464,6.1,6.06,3.9
"9435",9435,1.19,"Premium","I","VS2",59.3,59,4591,6.98,6.88,4.11
"3188",3188,0.73,"Ideal","G","VS1",62,55,3342,5.74,5.79,3.58
"43560",43560,0.51,"Good","D","VS2",60.1,65,1430,5.14,5.17,3.1
"7564",7564,0.9,"Premium","G","VS2",62.1,59,4252,6.15,6.09,3.8
"40235",40235,0.53,"Very Good","J","VS2",62.4,58,1124,5.15,5.24,3.24
"22337",22337,1.02,"Ideal","E","VVS2",61.5,57,10384,6.55,6.5,4.01
"35117",35117,0.3,"Ideal","F","IF",62.3,55,886,4.29,4.31,2.68
"18222",18222,1.22,"Premium","E","SI1",62.3,59,7395,6.8,6.74,4.22
"52502",52502,0.71,"Ideal","I","VS1",60.9,55,2525,5.8,5.81,3.53
"14948",14948,1.01,"Ideal","G","VS2",60.8,59,6019,6.52,6.5,3.96
"16365",16365,0.33,"Very Good","I","VVS1",61.7,61,608,4.43,4.45,2.74
"42927",42927,0.57,"Good","F","SI1",63.2,55,1364,5.26,5.31,3.34
"2576",2576,0.71,"Ideal","E","VS1",61.9,54,3212,5.74,5.76,3.56
"12825",12825,1.1,"Ideal","H","VS2",60.5,57,5347,6.73,6.7,4.06
"49978",49978,0.29,"Very Good","G","VVS2",60.2,59,541,4.27,4.3,2.58
"38728",38728,0.4,"Ideal","G","VVS1",62,56,1043,4.73,4.76,2.94
"13976",13976,1.19,"Ideal","I","SI1",62.3,55,5690,6.8,6.82,4.24
"51963",51963,0.3,"Ideal","H","VS1",61.4,57,545,4.31,4.32,2.65
"22253",22253,1.52,"Premium","D","SI2",61.4,54,10308,7.51,7.43,4.59
"48319",48319,0.31,"Ideal","I","VVS1",61.2,55.6,536,4.33,4.38,2.67
"1168",1168,0.77,"Very Good","H","VS1",63.3,57,2927,5.79,5.83,3.68
"11645",11645,1.2,"Good","J","VS2",63.7,56,5053,6.67,6.62,4.23
"25694",25694,0.4,"Ideal","E","SI2",62.6,54,644,4.68,4.71,2.94
"6881",6881,1.08,"Ideal","I","SI2",62.3,57,4130,6.56,6.61,4.1
"4027",4027,0.71,"Good","D","VS1",59.2,56,3524,5.84,5.85,3.46
"41646",41646,0.4,"Ideal","E","VVS2",62.1,55,1238,4.76,4.74,2.95
"11118",11118,1.13,"Ideal","I","SI1",61.4,57,4936,6.72,6.69,4.12
"51085",51085,0.54,"Ideal","F","VVS2",62.3,53.7,2334,5.22,5.26,3.26
"21508",21508,1.55,"Premium","G","SI1",59.8,59,9600,7.47,7.45,4.46
"26924",26924,1.7,"Very Good","G","VS1",60.6,59,16955,7.74,7.63,4.66
"9831",9831,1.01,"Premium","D","SI2",61.8,60,4672,6.41,6.37,3.95
"37024",37024,0.33,"Premium","G","VVS2",61.9,58,965,4.43,4.39,2.73
"2160",2160,0.97,"Good","J","VS2",64.3,58,3129,6.25,6.22,4.01
"31470",31470,0.34,"Premium","H","VS1",61.4,59,765,4.53,4.5,2.77
"9218",9218,1.01,"Ideal","G","SI2",59.3,60,4556,6.54,6.58,3.89
"42714",42714,0.56,"Good","F","SI1",63.2,56,1340,5.24,5.29,3.33
"18386",18386,0.26,"Ideal","F","VS1",62.1,54,618,4.12,4.13,2.56
"11958",11958,0.9,"Very Good","G","VS1",61.4,57,5135,6.2,6.24,3.82
"11378",11378,0.4,"Very Good","J","VS2",62.9,57,596,4.7,4.75,2.97
"15944",15944,1.66,"Ideal","J","SI2",60.8,57,6377,7.68,7.65,4.66
"39855",39855,0.33,"Ideal","D","VVS1",61,55,1100,4.47,4.52,2.74
"26246",26246,2.03,"Very Good","E","SI2",63,61,15690,7.99,8.04,5.05
"2346",2346,0.79,"Ideal","E","SI1",60.3,56,3171,5.99,6.05,3.63
"33285",33285,0.31,"Very Good","D","SI2",62.9,54,462,4.3,4.35,2.72
"15464",15464,1.02,"Ideal","D","SI1",62.3,57,6191,6.41,6.44,4
"39295",39295,0.3,"Ideal","H","VS2",62.6,55,491,4.28,4.31,2.69
"39501",39501,0.33,"Ideal","E","IF",60.8,57,1079,4.44,4.47,2.71
"18644",18644,1.35,"Ideal","H","SI1",61.5,58,7609,7.08,7.11,4.36
"4095",4095,0.92,"Very Good","F","SI2",60.6,63,3534,6.34,6.25,3.81
"20217",20217,1.5,"Premium","D","SI2",61.9,58,8649,7.34,7.27,4.52
"16793",16793,1,"Premium","F","VS1",61.3,59,6692,6.45,6.42,3.95
"38822",38822,0.7,"Very Good","G","I1",61.5,63,1047,5.73,5.65,3.5
"26437",26437,2.06,"Ideal","F","SI2",62.7,57,15970,8.19,8.09,5.1
"32874",32874,0.37,"Ideal","G","VS1",61,55,810,4.66,4.68,2.85
"4248",4248,0.9,"Ideal","H","SI2",62,57,3578,6.17,6.19,3.83
"26522",26522,1.98,"Premium","I","VS1",62.5,58,16171,7.95,7.99,4.98
"53181",53181,0.7,"Very Good","G","VS1",62.3,58,2631,5.63,5.67,3.52
"33334",33334,0.41,"Very Good","G","VS2",59.8,61,827,4.78,4.82,2.87
"5282",5282,0.9,"Ideal","D","SI2",60.9,57,3798,6.2,6.24,3.79
"21752",21752,1.12,"Very Good","G","IF",61,58,9820,6.7,6.72,4.09
"14076",14076,1.03,"Premium","E","SI1",62.9,56,5710,6.49,6.39,4.05
"1572",1572,0.71,"Very Good","E","VS1",63.2,60,3006,5.63,5.6,3.55
"28386",28386,0.33,"Premium","I","VS1",61.6,60,668,4.45,4.42,2.73
"48288",48288,0.73,"Ideal","J","SI1",61.3,57,1956,5.82,5.8,3.56
"19748",19748,1.5,"Premium","G","SI2",60.7,58,8316,7.39,7.33,4.47
"28779",28779,0.39,"Good","F","VS2",64.3,55,681,4.56,4.64,2.96
"9627",9627,1,"Good","H","VS2",63.6,61,4637,6.21,6.25,3.96
"37895",37895,0.41,"Ideal","D","VS2",61.6,55,1007,4.74,4.77,2.93
"40300",40300,0.4,"Premium","G","VS1",60.3,59,1125,4.8,4.76,2.88
"16483",16483,1.05,"Very Good","E","VS2",63.5,57,6586,6.51,6.46,4.12
"19529",19529,1.33,"Very Good","F","SI1",63.3,56,8163,6.91,6.95,4.39
"30994",30994,0.37,"Premium","F","VS2",61.2,58,746,4.63,4.69,2.85
"30024",30024,0.3,"Ideal","D","VS1",62.2,57,718,4.26,4.29,2.66
"31173",31173,0.41,"Good","I","VS1",63.7,57,755,4.67,4.72,2.99
"24075",24075,1.51,"Ideal","H","VS2",62.4,56,12219,7.33,7.28,4.56
"16395",16395,1.05,"Very Good","F","VS2",62,56,6545,6.48,6.52,4.03
"47677",47677,0.51,"Ideal","D","VS2",62.3,55,1882,5.19,5.12,3.21
"40387",40387,0.42,"Ideal","D","VVS2",61.7,57,1132,4.8,4.82,2.97
"48175",48175,0.57,"Premium","D","VS2",61.7,60,1944,5.28,5.32,3.27
"30747",30747,0.34,"Very Good","G","VVS2",62.3,59,740,4.45,4.48,2.78
"16551",16551,1.02,"Very Good","E","VS2",59.2,58,6612,6.52,6.58,3.88
"8903",8903,1.08,"Ideal","H","SI2",61.8,55,4491,6.57,6.6,4.07
"53938",53938,0.7,"Very Good","D","SI1",62.8,60,2757,5.66,5.68,3.56
"2547",2547,0.7,"Good","F","VVS1",59.9,62,3206,5.69,5.74,3.42
"36055",36055,0.31,"Good","G","IF",63.9,58,924,4.27,4.3,2.74
"28380",28380,0.33,"Premium","I","VS1",61.1,59,668,4.47,4.44,2.72
"44820",44820,0.5,"Ideal","E","VS2",61.6,55,1624,5.09,5.14,3.15
"22290",22290,1.42,"Premium","F","VS1",58.4,59,10338,7.36,7.32,4.29
"19514",19514,1.7,"Good","J","VS2",64,58,8146,7.41,7.47,4.76
"19310",19310,1,"Premium","D","VS1",62.7,60,8020,6.36,6.31,3.97
"18872",18872,1.64,"Very Good","J","SI1",62.6,59,7739,7.45,7.51,4.68
"32125",32125,0.4,"Good","F","VS2",62.2,61,784,4.71,4.74,2.94
"3915",3915,0.74,"Ideal","G","VVS2",60.9,58,3495,5.85,5.88,3.57
"18396",18396,1.51,"Good","J","VS2",59.5,61,7476,7.45,7.62,4.48
"48621",48621,0.7,"Premium","H","SI2",62.1,62,1999,5.67,5.63,3.51
"52434",52434,0.7,"Very Good","E","VS2",62.6,56,2513,5.65,5.69,3.55
"22028",22028,0.31,"Ideal","F","SI1",62,54,628,4.36,4.38,2.71
"22258",22258,1.86,"Ideal","J","VS2",62.6,56,10312,7.95,7.87,4.95
"33940",33940,0.27,"Ideal","H","VS1",61.2,54,464,4.2,4.23,2.58
"9150",9150,1.09,"Premium","D","SI2",62.8,56,4538,6.49,6.45,4.06
"35405",35405,0.32,"Ideal","F","VS1",61.9,56,900,4.4,4.36,2.71
"25247",25247,2.09,"Premium","J","SI1",62.2,59,13864,8.23,8.16,5.1
"53301",53301,0.3,"Very Good","I","VVS1",62.8,59,552,4.24,4.29,2.68
"8644",8644,1,"Ideal","F","SI2",61.3,56,4452,6.46,6.43,3.95
"7428",7428,0.86,"Ideal","E","SI1",60.6,56,4228,6.16,6.18,3.74
"48102",48102,0.5,"Ideal","G","VVS2",62,56,1935,5.13,5.09,3.17
"36921",36921,0.41,"Premium","G","VS1",62.3,56,961,4.8,4.77,2.98
"22893",22893,1.5,"Ideal","I","VVS2",60.7,60,10931,7.35,7.4,4.48
"21020",21020,1.3,"Ideal","H","VVS1",62.8,55.2,9232,6.94,6.97,4.36
"28838",28838,0.41,"Premium","D","SI2",62.3,58,683,4.73,4.77,2.96
"44001",44001,0.3,"Good","G","SI2",63.7,54,394,4.23,4.25,2.7
"8680",8680,1.01,"Good","D","SI2",63.5,61,4457,6.33,6.37,4.03
"21499",21499,1.53,"Ideal","I","VS2",62.2,57,9596,7.39,7.33,4.58
"27506",27506,2.09,"Very Good","I","VS1",62.9,57,18215,8.09,8.13,5.1
"21710",21710,0.27,"Ideal","G","IF",61.2,57,627,4.17,4.2,2.56
"5210",5210,0.9,"Ideal","G","SI1",60.3,56,3780,6.27,6.23,3.77
"4626",4626,1.27,"Very Good","I","I1",60.2,62,3665,7,7.05,4.23
"36680",36680,0.4,"Ideal","D","SI1",62.5,55,950,4.73,4.71,2.95
"45250",45250,0.43,"Premium","D","VVS1",59.6,58,1659,4.94,4.89,2.93
"39133",39133,0.41,"Ideal","G","VS2",62.7,56,1061,4.77,4.74,2.98
"48876",48876,0.71,"Very Good","F","SI2",63.3,56,2036,5.68,5.73,3.61
"19287",19287,1,"Premium","G","VVS1",62.1,59,8008,6.29,6.4,3.94
"12817",12817,1.01,"Premium","F","SI1",59.8,60,5345,6.57,6.53,3.92
"3368",3368,0.27,"Very Good","E","VS1",63.8,60,407,4.03,4.09,2.59
"34110",34110,0.38,"Good","D","VS1",63.4,55,853,4.61,4.64,2.93
"16958",16958,1.02,"Premium","F","VS2",62.4,59,6773,6.45,6.4,4.01
"25330",25330,1.59,"Ideal","H","VS1",61.8,56,14031,7.49,7.53,4.64
"24524",24524,2.29,"Fair","J","SI1",56.8,66,12811,8.79,8.69,4.96
"34450",34450,0.4,"Premium","G","SI1",61.7,61,864,4.68,4.63,2.87
"3306",3306,0.8,"Ideal","F","VS2",62.7,54,3369,5.95,5.91,3.72
"1833",1833,0.7,"Very Good","E","VS1",61.1,55,3061,5.72,5.77,3.51
"28894",28894,0.3,"Premium","G","VVS2",62,60,684,4.25,4.33,2.66
"23121",23121,1.68,"Ideal","D","SI2",62.7,55,11147,7.45,7.58,4.71
"26663",26663,2.1,"Very Good","H","SI2",63,57,16479,8.08,8.13,5.11
"41058",41058,0.52,"Very Good","E","SI2",62.6,58,1190,5.11,5.14,3.21
"3557",3557,0.92,"Very Good","H","SI2",62.8,59,3417,6.14,6.16,3.86
"9327",9327,1,"Premium","E","SI2",62.7,58,4579,6.41,6.34,4
"46462",46462,0.71,"Good","I","SI1",63.6,63,1774,5.64,5.61,3.58
"2561",2561,0.7,"Premium","D","VVS2",61.5,60,3210,5.71,5.64,3.49
"25688",25688,0.36,"Premium","D","SI2",63,59,643,4.52,4.49,2.84
"12845",12845,1.25,"Ideal","G","SI2",61.6,57,5355,6.98,6.91,4.28
"14095",14095,0.91,"Ideal","D","SI1",60.6,56,5717,6.27,6.3,3.81
"51885",51885,0.8,"Ideal","G","SI2",62.1,57,2429,5.95,6.03,3.72
"19040",19040,0.3,"Ideal","F","VS1",62.5,57,621,4.26,4.28,2.67
"12533",12533,1.12,"Premium","H","SI1",62.2,60,5266,6.59,6.65,4.12
"40947",40947,0.3,"Good","F","SI1",63.6,55,500,4.28,4.33,2.74
"29146",29146,0.31,"Ideal","E","VS1",61.8,55,692,4.36,4.38,2.7
"8873",8873,1.04,"Premium","E","SI2",59.2,58,4484,6.64,6.7,3.95
"35179",35179,0.31,"Ideal","G","IF",61.8,54,891,4.36,4.38,2.7
"45556",45556,0.51,"Ideal","F","VS2",63.2,57,1687,5.08,5.05,3.2
"12134",12134,1.02,"Premium","H","VS2",61.9,57,5171,6.5,6.4,3.99
"52833",52833,0.7,"Ideal","F","VS2",62.8,56,2573,5.7,5.67,3.57
"50132",50132,0.63,"Very Good","D","SI1",63.1,58,2211,5.49,5.44,3.45
"1218",1218,0.73,"Ideal","F","VS2",62.7,58,2939,5.72,5.77,3.6
"24289",24289,1.75,"Ideal","I","VS2",61.6,55,12531,7.72,7.77,4.77
"37798",37798,0.41,"Ideal","G","VVS1",61.8,55,1000,4.76,4.79,2.95
"23569",23569,1.5,"Good","G","VS2",63.3,62,11577,7.08,7.2,4.52
"50924",50924,0.7,"Premium","F","SI1",60.2,58,2319,5.76,5.7,3.45
"25369",25369,0.28,"Ideal","F","VVS2",61.8,56,642,4.22,4.26,2.62
"47905",47905,0.52,"Ideal","D","VS1",62.1,57,1914,5.13,5.2,3.21
"37530",37530,0.5,"Good","I","VS2",64.6,59,987,4.9,4.95,3.18
"44972",44972,0.32,"Ideal","H","VS2",61.2,56,523,4.42,4.44,2.71
"4107",4107,0.78,"Ideal","F","VS1",61.6,56,3537,5.9,5.92,3.64
"35385",35385,0.41,"Premium","G","VS1",60.2,59,899,4.79,4.84,2.9
"50994",50994,0.31,"Very Good","E","SI1",62.8,57,544,4.32,4.34,2.72
"18694",18694,0.29,"Ideal","E","VS1",61.2,56,619,4.27,4.29,2.61
"29306",29306,0.25,"Ideal","G","VS1",62,54,438,4.06,4.07,2.52
"1548",1548,0.71,"Premium","D","VS2",62.1,60,3002,5.68,5.72,3.54
"32121",32121,0.42,"Very Good","D","SI1",62.3,58,784,4.8,4.83,3
"40748",40748,0.47,"Ideal","G","SI1",60.8,56,1163,5,5.03,3.05
"32493",32493,0.39,"Ideal","E","VS2",61.4,56,796,4.68,4.74,2.89
"14176",14176,1.01,"Ideal","E","SI1",59.8,60,5751,6.56,6.48,3.9
"41078",41078,0.41,"Premium","F","VVS2",61,59,1192,4.83,4.77,2.93
"39905",39905,0.49,"Premium","H","VS2",59.5,62,1103,5.14,5.12,3.05
"28429",28429,0.3,"Ideal","D","VS2",60.6,58,670,4.31,4.33,2.62
"14618",14618,1.2,"Premium","H","SI1",62.4,59,5899,6.73,6.7,4.19
"8452",8452,1.07,"Premium","H","SI2",61.2,60,4413,6.53,6.57,4.01
"50",50,0.29,"Very Good","H","SI2",60.7,60,404,4.33,4.37,2.64
"16182",16182,1,"Premium","F","VS2",62.4,60,6468,6.38,6.35,3.97
"15776",15776,1.12,"Ideal","H","VS1",61.9,57,6309,6.66,6.69,4.13
"24480",24480,1.1,"Ideal","E","VVS1",61.1,56,12748,6.69,6.73,4.1
"44660",44660,0.35,"Premium","D","SI2",60.8,58,522,4.51,4.57,2.76
"2314",2314,0.87,"Fair","I","VS2",57.3,59,3166,6.29,6.44,3.65
"11052",11052,0.28,"Very Good","E","VVS2",63.6,56,596,4.13,4.17,2.64
"31768",31768,0.32,"Ideal","G","VS1",60.7,56,773,4.46,4.43,2.7
"39832",39832,0.5,"Premium","E","SI2",61,62,1097,5.13,5.09,3.12
"16216",16216,1.33,"Ideal","H","SI2",62.7,57,6480,7.05,6.98,4.4
"39787",39787,0.39,"Premium","G","VVS1",59.9,59,1095,4.73,4.75,2.84
"16294",16294,1,"Very Good","E","VS2",62.6,60,6518,6.35,6.4,3.99
"45960",45960,0.56,"Premium","D","SI1",61.4,58,1723,5.29,5.33,3.26
"10263",10263,1.01,"Ideal","E","SI2",61.2,54,4751,6.52,6.49,3.98
"53690",53690,0.55,"Ideal","F","VVS1",60.6,57,2716,5.33,5.36,3.24
"12849",12849,0.9,"Good","E","VS1",59.3,56,5356,6.27,6.32,3.73
"37057",37057,0.43,"Ideal","I","VVS1",62.2,57,968,4.84,4.81,3
"39227",39227,0.38,"Ideal","D","VS1",62,55,1067,4.64,4.68,2.89
"3088",3088,0.74,"Ideal","E","VS2",61.7,56,3315,5.86,5.81,3.6
"10271",10271,1.01,"Fair","D","SI1",66.9,54,4751,6.25,6.21,4.17
"37980",37980,0.51,"Very Good","J","VS2",61.6,58,1008,5.09,5.14,3.15
"627",627,0.7,"Premium","H","VVS1",59.2,60,2840,5.87,5.78,3.45
"18773",18773,1.03,"Premium","E","VS1",61.4,58,7677,6.52,6.58,4.02
"11772",11772,1.2,"Very Good","J","SI1",62.5,58,5082,6.74,6.79,4.23
"25860",25860,2.27,"Premium","I","SI2",62.5,59,14937,8.45,8.39,5.26
"51230",51230,0.72,"Premium","G","SI1",62.8,60,2352,5.78,5.68,3.6
"8459",8459,1.03,"Premium","G","SI2",59.9,60,4413,6.56,6.5,3.91
"24854",24854,1.7,"Premium","G","SI1",61.7,58,13256,7.69,7.6,4.72
"12180",12180,1.02,"Good","E","SI1",63.2,61,5183,6.31,6.37,4.01
"32276",32276,0.3,"Premium","G","VVS1",60.7,58,789,4.34,4.36,2.64
"31896",31896,0.3,"Premium","G","VS1",61.8,60,776,4.32,4.29,2.66
"40919",40919,0.39,"Ideal","E","VVS1",60.4,56,1179,4.76,4.78,2.88
"52131",52131,0.73,"Ideal","E","SI2",62.1,56,2467,5.74,5.79,3.58
"2502",2502,0.71,"Ideal","E","VS1",62.3,56,3198,5.66,5.7,3.54
"18096",18096,1.42,"Premium","H","SI2",61.6,58,7316,7.22,7.17,4.43
"45190",45190,0.51,"Ideal","G","VS1",62.5,57,1656,5.07,5.14,3.19
"40362",40362,0.43,"Ideal","D","VS2",61.8,56,1129,4.83,4.81,2.98
"8754",8754,1.03,"Very Good","G","SI2",61.4,54,4466,6.52,6.57,4.02
"31055",31055,0.38,"Ideal","E","VS2",61.9,57,751,4.61,4.66,2.87
"10465",10465,1.08,"Fair","E","SI1",53.8,63,4790,6.99,6.81,3.71
"48287",48287,0.53,"Ideal","E","VS2",62.3,57,1956,5.23,5.19,3.25
"22100",22100,1.28,"Ideal","G","VS1",62.1,57,10126,6.91,6.94,4.3
"28929",28929,0.3,"Very Good","G","VVS2",62.1,59,684,4.23,4.27,2.64
"20976",20976,1.53,"Ideal","I","VS2",62.3,57,9189,7.3,7.35,4.56
"35661",35661,0.31,"Good","G","VVS2",63.8,56,907,4.28,4.24,2.72
"25748",25748,1.51,"Premium","F","VS2",61.6,58,14683,7.32,7.35,4.52
"32133",32133,0.41,"Premium","F","SI2",60.9,58,784,4.82,4.8,2.93
"25873",25873,1.8,"Ideal","H","VS1",62.3,56,14968,7.76,7.79,4.84
"21468",21468,1.22,"Ideal","F","VS2",60.7,57,9568,6.89,6.94,4.2
"39334",39334,0.3,"Premium","G","IF",58.4,62,1071,4.43,4.4,2.58
"3299",3299,0.76,"Very Good","H","IF",62.6,57,3367,5.8,5.83,3.64
"14600",14600,1.24,"Ideal","F","SI2",61.7,57,5889,6.95,6.88,4.27
"23139",23139,1.5,"Ideal","H","VS2",62.8,57,11159,7.3,7.25,4.57
"48448",48448,0.7,"Premium","H","SI2",61,59,1974,5.76,5.71,3.5
"30312",30312,0.31,"Ideal","E","VS1",62.1,54.2,726,4.31,4.35,2.69
"42920",42920,0.53,"Ideal","F","SI1",62.9,57,1363,5.18,5.15,3.25
"37167",37167,0.32,"Ideal","D","VS2",62,55,972,4.42,4.38,2.73
"53526",53526,0.74,"Very Good","G","SI1",61.6,58,2690,5.78,5.81,3.57
"3877",3877,0.83,"Ideal","F","SI1",62.8,56,3482,5.97,6.01,3.76
"2750",2750,0.76,"Ideal","H","VVS2",61,56,3249,5.85,5.91,3.59
"39750",39750,0.5,"Premium","H","SI1",62.3,59,1094,5.02,4.99,3.12
"36243",36243,0.54,"Ideal","I","SI2",60.9,57,935,5.26,5.31,3.22
"7516",7516,1.01,"Good","H","SI1",60.6,61,4242,6.35,6.39,3.86
"7514",7514,0.9,"Good","F","SI1",61.8,63,4241,6.21,6.18,3.83
"31316",31316,0.32,"Premium","D","VS2",61.7,58,758,4.34,4.38,2.69
"21212",21212,1.29,"Premium","G","VS1",62.4,58,9354,6.89,6.86,4.29
"25570",25570,1.12,"Ideal","E","VVS1",61.5,56,14407,6.7,6.76,4.13
"17906",17906,1.26,"Ideal","G","SI1",61.3,57,7230,6.94,6.99,4.27
"20624",20624,1.04,"Ideal","G","IF",62.1,54,8921,6.53,6.55,4.06
"35938",35938,0.41,"Very Good","D","SI1",60.3,63,920,4.8,4.78,2.89
